feature,importance
numeric__tenure,1.2413187941272017
categorical__Contract_Two year,0.7722611534608192
categorical__InternetService_DSL,0.6524062168050639
categorical__InternetService_Fiber optic,0.6400264525481274
numeric__MonthlyCharges,0.5963919095467536
categorical__Contract_Month-to-month,0.5793044569848195
numeric__TotalCharges,0.5167080574465724
categorical__PaperlessBilling_No,0.34325977514725714
categorical__OnlineBackup_No internet service,0.301081928939701
categorical__InternetService_No,0.301081928939701
categorical__DeviceProtection_No internet service,0.301081928939701
categorical__TechSupport_No internet service,0.301081928939701
categorical__StreamingTV_No internet service,0.301081928939701
categorical__StreamingMovies_No internet service,0.301081928939701
categorical__OnlineSecurity_No internet service,0.301081928939701
categorical__MultipleLines_No,0.27794294277234183
categorical__Dependents_Yes,0.27033147916006905
categorical__StreamingMovies_No,0.21639400812710635
categorical__StreamingTV_No,0.21600569991533766
categorical__PaymentMethod_Credit card (automatic),0.21521593104380438
categorical__StreamingMovies_Yes,0.2040142438701622
categorical__StreamingTV_Yes,0.20362593565840156
categorical__PaymentMethod_Electronic check,0.1984124897754214
categorical__PaymentMethod_Bank transfer (automatic),0.1860531680530396
categorical__PhoneService_Yes,0.17198860907871297
categorical__OnlineSecurity_Yes,0.1694024159970483
categorical__Partner_No,0.16793359274343714
categorical__gender_Female,0.16774247188876706
categorical__OnlineSecurity_No,0.15702265174011193
categorical__gender_Male,0.14571922130786702
categorical__Partner_Yes,0.14552810045320613
categorical__TechSupport_Yes,0.14449486193550531
categorical__MultipleLines_No phone service,0.14147308411793297
categorical__PhoneService_No,0.14147308411793297
categorical__TechSupport_No,0.1321150976785702
categorical__Contract_One year,0.12050499672062548
categorical__PaymentMethod_Mailed check,0.11060508387521437
categorical__MultipleLines_Yes,0.10595433369363438
numeric__SeniorCitizen,0.053929424685412425
categorical__OnlineBackup_Yes,0.045151700277182516
categorical__Dependents_No,0.04313021403658728
categorical__DeviceProtection_No,0.0342641862059761
categorical__OnlineBackup_No,0.03277193602025473
categorical__PaperlessBilling_Yes,0.029798081950625412
categorical__DeviceProtection_Yes,0.02188442194903935
