feature,mean_abs_shap
numeric__tenure,1.0972671144257047
numeric__MonthlyCharges,0.5448891113868817
numeric__TotalCharges,0.3803648253742601
categorical__InternetService_Fiber optic,0.31694109930183273
categorical__Contract_Month-to-month,0.28112486688559335
categorical__Contract_Two year,0.2788789477377705
categorical__InternetService_DSL,0.27714216089879123
categorical__PaperlessBilling_No,0.16531390771091978
categorical__MultipleLines_No,0.13830440832351718
categorical__Dependents_Yes,0.12138964740203764
categorical__InternetService_No,0.11123170782748264
categorical__StreamingTV_No internet service,0.11123170782748264
categorical__TechSupport_No internet service,0.11123170782748264
categorical__StreamingMovies_No internet service,0.11123170782748264
categorical__DeviceProtection_No internet service,0.11123170782748264
categorical__OnlineSecurity_No internet service,0.11123170782748264
categorical__OnlineBackup_No internet service,0.11123170782748264
categorical__StreamingMovies_No,0.10580801421382979
categorical__StreamingTV_No,0.10473684377494935
categorical__StreamingTV_Yes,0.09184344201936553
categorical__StreamingMovies_Yes,0.09090874706854436
categorical__gender_Female,0.08419330149041004
categorical__Partner_No,0.08396679637171882
categorical__PaymentMethod_Electronic check,0.08204753277193236
categorical__OnlineSecurity_No,0.0783857077486641
categorical__PaymentMethod_Credit card (automatic),0.07826972980201068
categorical__gender_Male,0.07313939155884476
categorical__Partner_Yes,0.07276405022660289
categorical__TechSupport_No,0.06593071834551398
categorical__PaymentMethod_Bank transfer (automatic),0.06211198962282687
categorical__OnlineSecurity_Yes,0.06018529035543122
categorical__TechSupport_Yes,0.05071191674488511
categorical__MultipleLines_Yes,0.05008673262365506
categorical__PaymentMethod_Mailed check,0.042649320342282596
numeric__SeniorCitizen,0.03822567988049554
categorical__Contract_One year,0.03538026703717571
categorical__PhoneService_Yes,0.0258946049828909
categorical__MultipleLines_No phone service,0.02130018754479606
categorical__PhoneService_No,0.02130018754479606
categorical__Dependents_No,0.01936719131098921
categorical__OnlineBackup_Yes,0.017609163108101174
categorical__DeviceProtection_No,0.01714853991236698
categorical__OnlineBackup_No,0.01638072450036408
categorical__PaperlessBilling_Yes,0.014350756267421185
categorical__DeviceProtection_Yes,0.0085314230526135
